zip_code,total_population,total_population_male,total_population_female,median_age,under_18,age_18_and_over,age_65_and_over
00985,32265,14346,17919,47.7,4462,27803,8983
00987,54109,24952,29157,41.1,9956,44153,9904
01001,16045,7872,8173,45.9,2837,13208,3894
01002,22992,11654,11338,26.4,3034,19958,3505
01003,11989,5680,6309,19.8,194,11795,4
01005,4837,2230,2607,44.4,768,4069,759
01007,15368,7406,7962,44,3032,12336,2940
01008,1231,620,611,50.2,197,1034,318
01009,699,364,335,31.1,205,494,49
01010,3699,2037,1662,45.5,771,2928,779
01011,1318,621,697,47.1,290,1028,251
01012,440,224,216,54.5,74,366,96
01013,22895,10639,12256,39,5235,17660,3649
01020,30417,15394,15023,44,5256,25161,6226
01022,2144,953,1191,39.3,236,1908,561
01026,1073,572,501,51.2,163,910,279
01027,17711,8716,8995,47.5,2916,14795,4250
01028,16273,7706,8567,43.7,3766,12507,3584
01029,527,328,199,56.8,75,452,137
01030,12561,6157,6404,46.1,2233,10328,2252
01031,1697,939,758,35.5,484,1213,240
01032,484,223,261,55.3,62,422,119
01033,6096,3032,3064,48.3,852,5244,1301
01034,2065,1065,1000,50.2,358,1707,416
01035,5295,2476,2819,48.7,942,4353,1285
01036,4966,2477,2489,55.3,608,4358,1386
01037,582,307,275,62,60,522,221
01038,2469,1235,1234,48.5,403,2066,602
01039,1728,730,998,52.8,294,1434,420
01040,38210,18805,19405,37.5,8465,29745,6500
01050,2714,1336,1378,44.4,575,2139,466
01053,1885,900,985,57.1,161,1724,660
01054,1793,846,947,49,313,1480,539
01056,20883,10677,10206,44.6,3227,17656,4472
01057,8215,4130,4085,49.6,1424,6791,1894
01060,14724,6563,8161,42.2,2321,12403,2740
01062,9491,4533,4958,49.6,1819,7672,2391
01063,2089,14,2075,19.9,34,2055,8
01066,134,39,95,49.4,7,127,63
01068,1585,775,810,49.3,267,1318,312
01069,8516,4341,4175,51.5,1320,7196,1959
01070,571,267,304,55.6,101,470,194
01071,1259,672,587,47,163,1096,195
01072,1413,637,776,53.5,186,1227,361
01073,6185,3357,2828,47.8,1119,5066,1390
01074,694,281,413,34.9,133,561,104
01075,17115,7309,9806,44.6,2595,14520,4167
01077,9244,4665,4579,47.8,1655,7589,2022
01079,640,289,351,48.7,128,512,39
01080,2674,1390,1284,36.4,627,2047,220
01081,1716,882,834,42.4,390,1326,254
01082,10533,5113,5420,42.9,2191,8342,1854
01083,2539,1569,970,35,637,1902,212
01084,99,46,53,51.4,12,87,36
01085,41592,19903,21689,39.4,8139,33453,7527
01088,725,328,397,31.4,143,582,82
01089,28755,13952,14803,38.7,5477,23278,4460
01092,1428,691,737,36.4,221,1207,196
01093,145,68,77,54.4,6,139,57
01094,44,15,29,52.2,6,38,14
01095,14673,7136,7537,44.7,3233,11440,3331
01096,2516,1261,1255,47.9,400,2116,620
01097,36,4,32,33.8,8,28,9
01098,951,462,489,61.1,118,833,334
01103,2245,941,1304,36.5,237,2008,283
01104,22606,9850,12756,34.7,5778,16828,3017
01105,12045,6265,5780,28.1,3501,8544,1339
01106,16019,7416,8603,45.1,3811,12208,3657
01107,12443,6078,6365,27.4,3747,8696,1164
01108,26198,12095,14103,34.6,6239,19959,3037
01109,31301,15867,15434,29,7648,23653,3604
01118,15112,7452,7660,37.7,3576,11536,2158
01119,14182,7020,7162,36.2,3005,11177,2387
01128,3063,1420,1643,39.2,710,2353,538
01129,6486,3258,3228,42.8,1138,5348,1377
01144,0,0,0,-,0,0,0
01151,9467,4395,5072,33.9,2377,7090,1255
01201,45188,22501,22687,43.8,8047,37141,9077
01220,8149,3923,4226,48.2,1243,6906,2052
01222,623,280,343,42.6,152,471,79
01223,2565,1394,1171,50.5,400,2165,631
01224,124,47,77,57.1,23,101,0
01225,3239,1645,1594,52.1,474,2765,846
01226,6332,3003,3329,49.8,1256,5076,1558
01229,125,56,69,73.3,0,125,96
01230,9095,4300,4795,48.4,1531,7564,2134
01235,2461,1185,1276,51.1,357,2104,585
01236,1625,894,731,55.3,269,1356,311
01237,2451,1200,1251,50.3,527,1924,662
01238,5928,2810,3118,50.8,976,4952,1729
01240,4922,2298,2624,58.1,586,4336,1922
01242,255,31,224,40.7,17,238,48
01243,135,75,60,59.6,2,133,42
01244,158,69,89,58.8,0,158,62
01245,828,397,431,64.4,102,726,400
01247,15279,7767,7512,44.9,2605,12674,3244
01253,818,393,425,53,85,733,207
01254,961,432,529,61.8,94,867,384
