DISCIPLINE,COMMONNAME,LEGALNAME,ADSTREET,ADCITY,ADSTATE,ADZIP5,WEBURL,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4
ART,CENTER FOR CREATIVE PHOTOGRAPHY,CENTER FOR CREATIVE PHOTOGRAPHY,1030 NORTH OLIVE ROAD,TUCSON,AZ,85721,HTTP://WWW.CREATIVEPHOTOGRAPHY.ORG,-110.95503,32.23592,6,6,4
ART,CENTER FOR RESEARCH IN CONTEMPORARY ART,CENTER FOR RESEARCH IN CONTEMPORARY ART,701 S NEDDERMAN DR,ARLINGTON,TX,76013,NA,-97.115,32.72898,5,6,4
ART,CENTER FOR THE ARTS ART GALLERY,CENTER FOR THE ARTS ART GALLERY,7700 OSLER DRIVE,TOWSON,MD,21252,NA,-76.60532,39.39048,2,2,2
ART,CENTER FOR THE ARTS GALLERY,CENTER FOR THE ARTS GALLERY,75 GRASSLANDS ROAD,VALHALLA,NY,10595,HTTP://WWW.SUNYWCC.EDU/LOCATIONS/ARTS/CENTERFORTHEARTSGALLERY/,-73.79304,41.07161,2,2,2
ART,CENTER FOR THE ARTS GREGERSON GALLERY,LUTHER COLLEGE,700 COLLEGE DRIVE,DECORAH,IA,52101,HTTP://WWW.LUTHER.EDU/FINE-ARTS/,-91.80091,43.3146,4,4,3
ART,CENTER FOR THE VISUAL ARTS,METROPOLITAN STATE UNIVERSITY OF DENVER,965 SANTA FE DRIVE,DENVER,CO,80204,NA,-104.99872,39.73096,5,7,2
ART,CENTER FOR THE VISUAL ARTS GALLERY,CENTER FOR THE VISUAL ARTS GALLERY,620 WEST GROVE PLACE,TOLEDO,OH,43606,HTTP://WWW.UTOLEDO.EDU/COMM-ARTS/ART/FACILITY,-83.55961,41.65807,4,3,2
ART,CENTER GALLERIES,CENTER GALLERIES,201 EAST KIRBY STREET,DETROIT,MI,48202,NA,-83.06432,42.36097,4,3,1
ART,CENTRE GALLERY WOLFSON CAMPUS,CENTRE GALLERY WOLFSON CAMPUS,300 N E SECOND AVE BUILDING 1 3RD FLOOR,MIAMI,FL,33132,HTTP://WWW.MDCMOAD.ORG/,-80.19122,25.77758,3,5,1
ART,CENTRUM GALLERY,OREGON COLLEGE OF ART AND CRAFT,8245 SW BARNES RD,PORTLAND,OR,97225,HTTPS://OCAC.EDU/EXHIBITIONS,-122.76083,45.51078,6,8,4
ART,CERAMICS ART GALLERY,IMMACULATA UNIVERSITY,1145 KING RD,IMMACULATA,PA,19345,NA,-75.56631,40.02732,2,2,2
ART,CERRITOS COLLEGE ART GALLERY,CERRITOS COLLEGE ART GALLERY,11110 ALONDRA BLVD,NORWALK,CA,90650,HTTP://CMS.CERRITOS.EDU/ART-GALLERY/,-118.09578,33.88747,6,8,2
ART,CHABOT ART GALLERY,CHABOT ART GALLERY,25555 HESPERIAN BLVD,HAYWARD,CA,94545,HTTP://WWW.CHABOTCOLLEGE.EDU/PHOT/GALLERY.ASP,-122.10322,37.64121,6,8,1
ART,CHAPEL ART CENTER,CHAPEL ART CENTER,100 SAINT ANSELM DRIVE,MANCHESTER,NH,03102,NA,-71.50402,42.98757,1,1,4
ART,CHAPMAN ART CENTER GALLERY,CAZENOVIA COLLEGE,22 SULLIVAN STREET,CAZENOVIA,NY,13035,HTTP://WWW.CAZENOVIA.EDU/ART-AND-THEATRE/ART-GALLERY-REISMAN-HALL,-75.85194,42.92996,2,2,4
ART,CHARLES BECK GALLERY,CHARLES BECK GALLERY,1414 COLLEGE WAY,FERGUS FALLS,MN,56537,HTTP://WWW.MINNESOTA.EDU/?ID=10591,-96.09996,46.2871,4,4,4
ART,CHARLOTTE AND PHILIP HANES ART GALLERY,WAKE FOREST UNIVERSITY,1834 WAKE FOREST RD #113,WINSTON-SALEM,NC,27109,HTTP://HANESGALLERY.WFU.EDU,-80.27798,36.13612,3,5,1
ART,CHAZEN MUSEUM OF ART,CHAZEN MUSEUM OF ART,800 UNIVERSITY AVENUE,MADISON,WI,53706,HTTP://WWW.CHAZEN.WISC.EDU/,-89.39958,43.07334,4,3,1
ART,CHC ART GALLERY,CHC ART GALLERY,11711 SAND CANYON ROAD,YUCAIPA,CA,92399,HTTP://WWW.CRAFTONHILLS.EDU/NEWS/JANUARY_2014/RACHEL_LAUREN_KASTER,-117.1113,34.04233,6,8,4
ART,CHOATE HOUSE GALLERY (PLV),PACE UNIVERSITY,861 BEDFORD ROAD,PLEASANTVILLE,NY,10570,NA,-74.00623,40.71153,2,2,1
